;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
25001,1,3.7,11.9,3.22,1.7,0.2,1.1,0.4,7.3,0.0,0.1,0.0,1.1,0.1,0.1,0.0,0.2,4.4,0.0,0.9,0.3,0,0,0,0,34342,0,0,0,0,25,KANE,1,West Kane County,1,Northwest Kane County,416,Alton,Alton
25002,2,19.7,45.2,2.29,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.9,1.3,0,0,0,0,34342,0,0,0,0,25,KANE,1,West Kane County,1,Northwest Kane County,416,Alton,Alton
25003,3,18.5,47.1,2.55,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.3,0,0,0,0,34342,0,0,0,0,25,KANE,1,West Kane County,1,Northwest Kane County,416,Alton,Alton
25004,4,13.7,49.1,3.59,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.9,0,0,0,0,34342,0,0,0,0,25,KANE,1,West Kane County,1,Northwest Kane County,416,Alton,Alton
25005,5,1.6,1.9,1.20,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0,34342,0,0,0,0,25,KANE,1,West Kane County,1,Northwest Kane County,416,Alton,Alton
25006,6,0.0,0.0,0.00,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0,0,0,0,34342,0,0,0,0,25,KANE,1,West Kane County,1,Northwest Kane County,415,Alton Area,Balance of Kane
25007,7,8.2,19.7,2.40,9.1,1.5,0.3,7.3,17.5,0.4,1.1,0.3,0.0,0.5,0.6,0.2,6.0,4.4,0.0,3.4,0.6,0,0,0,0,34342,0,0,0,0,25,KANE,1,West Kane County,1,Northwest Kane County,415,Alton Area,Balance of Kane
25008,8,0.0,0.0,0.00,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0,0,0,0,34342,0,0,0,0,25,KANE,1,West Kane County,1,Northwest Kane County,415,Alton Area,Balance of Kane
25009,9,0.0,0.0,0.00,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0,0,0,0,34342,0,0,0,0,25,KANE,1,West Kane County,1,Northwest Kane County,415,Alton Area,Balance of Kane
25010,10,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34342,0,0,0,0,25,KANE,1,West Kane County,1,Northwest Kane County,415,Alton Area,Balance of Kane
